Latitude,perc70,perc75,perc80,perc85,perc90,perc95,perc99
0,7.41918929702111,7.91738415601116,8.45288866548723,9.07048285156459,9.87207392150158,11.0495561146523,13.2689434960301
1,7.19235596646789,7.70185256672648,8.27329455999731,8.94152804918959,9.78426740972801,11.0442953631209,13.5263599729194
2,7.17609325172975,7.68268777023913,8.25122539087071,8.92796322148588,9.79004237350541,11.0873448006554,13.6879870192201
3,7.18403913988405,7.69992499421616,8.28245367481886,8.976197311747,9.86181096660857,11.2264868032834,14.0021802883224
4,7.19838155708988,7.72096619303659,8.31871541585548,9.02612306244531,9.95251481518633,11.3912489040704,14.3114082962521
5,7.18475844379802,7.7086874959621,8.31198705805411,9.04315473791893,10.0052763843349,11.5270509180203,14.635366840472
6,7.13855426029989,7.66835333753837,8.2790165409724,9.02180029792082,9.99623940704894,11.5808345050541,14.7513014372007
7,7.07253928839096,7.61072657002717,8.22694918142165,8.96459762106585,9.94736845117855,11.5390138818988,14.6255544913637
8,6.96595613959678,7.51103302337316,8.128252158879,8.86886627762436,9.83590844210241,11.3818109037943,14.3163795019949
9,6.82460238898368,7.36550187603354,7.98284759778422,8.72169996138048,9.66780074653613,11.1220970437651,13.919889950496
10,6.69152392106381,7.21577958556396,7.82316368092368,8.55679661823721,9.47482485774904,10.8859134366228,13.5767206125014
11,6.55527531650866,7.07318947754997,7.67163455570207,8.38689743679169,9.30220367122487,10.6883161457313,13.4284378064053
12,6.43345018351883,6.94297842461601,7.53050339112077,8.23434405917441,9.15726912669528,10.5745308761876,13.4285977690327
13,6.3678472364512,6.87168175915622,7.45804319149263,8.16590015745249,9.08671464862005,10.5341113705561,13.468003713194
14,6.37480040272582,6.88746048302555,7.47959810005228,8.19162735810204,9.13691735575618,10.5952681807225,13.5157944623023
15,6.4679305800603,6.99806609308917,7.60716238820652,8.34122567545471,9.29181148480351,10.7760808412005,13.8002787004944
16,6.65161545997933,7.19350935237278,7.81254373127673,8.55262223325726,9.54590902589625,11.1468015002111,14.3629875668634
17,6.91190758568084,7.47660863207163,8.11865656451442,8.90436719602191,9.97464264902913,11.7259619580924,15.3160042485119
