Latitude,perc70,perc75,perc80,perc85,perc90,perc95,perc99
0,13.8048509644819,15.2475027890203,16.9317758020268,18.9778244587341,21.655477659407,25.6736188472707,32.8248628890269
1,12.3047109043981,13.5628463979103,15.0717131822689,16.9522930402933,19.5095895926124,23.5090618515462,30.5942193875974
2,12.2212397526382,13.4487152509966,14.9047919309167,16.7366269198908,19.2112147804958,23.1512339702759,30.053243106871
3,12.1506790743313,13.3397811405729,14.761127060564,16.5420182051562,18.9045538272115,22.7941764816893,29.5582909323651
4,12.0820896981486,13.2508781913218,14.6411437334903,16.3711309235908,18.6217972822081,22.3776964621881,29.1552622163638
5,12.0254698129674,13.1660961774685,14.5348898779671,16.1976382669632,18.3924167649192,21.9580895094872,28.695014936545
6,11.9576090237031,13.0876982357784,14.4276114220535,16.0525092917473,18.1952923535923,21.5681977805331,28.1723420983449
7,11.9146238391087,13.0289129374832,14.3298071323878,15.9091776633474,18.0019332553959,21.2466151555353,27.5890344172321
8,11.8923821294805,12.9915153597155,14.2529375602333,15.8013339384923,17.8490078200772,20.9746807912995,27.0745229657218
9,11.9077311279362,12.9790426119883,14.2377952088804,15.7479602936263,17.7491447561341,20.7907803504952,26.6773127030938
10,11.9864901208643,13.0528684748104,14.2910864557015,15.800676034226,17.7580049613662,20.7291182892785,26.4440204694736
11,12.1748367468568,13.2498986977449,14.4888321425942,15.9839576052106,17.9067705656651,20.8683590317813,26.4921286188934
12,12.5150231135823,13.6057589432038,14.855095261018,16.3423298775601,18.2727042635619,21.1899857546173,26.8039307019398
13,13.0309529217531,14.151740349764,15.4342921066531,16.9433324667033,18.8630221543801,21.8051386414744,27.3704527223525
14,13.7640172706291,14.92045862566,16.2378920444267,17.7782266701321,19.7246203146115,22.6821776463036,28.1682904398344
15,14.7646113490434,15.9287380493836,17.2733569353788,18.8579468140409,20.8376893976784,23.74131248631,29.1671875506195
16,15.9835560388664,17.162604909543,18.5208135259703,20.1216293621911,22.0949376791551,24.9884393910775,30.3490291594629
17,17.3710234306199,18.5859133797872,19.9268774953574,21.5019294387914,23.4838466223454,26.3689409140269,31.6179561684654
18,18.9019267138725,20.1067643153286,21.4520959929075,22.9999059958641,24.9664481939844,27.8413729623684,32.9788663601401
