Latitude,perc70,perc75,perc80,perc85,perc90,perc95,perc99
0,8.78076928456098,9.43015547316593,10.2012292024889,11.1616629858878,12.484537822236,14.7218738359533,20.5813443048749
1,8.73236943271568,9.37997419001017,10.1246646462152,11.0446428467361,12.2900865818493,14.3638029395403,19.0693281400771
2,8.7041431881767,9.33871459616688,10.086341703989,11.0040228031452,12.2502869766863,14.3551590918184,19.0159155143031
3,8.66483660997073,9.30016151315386,10.0464603361072,10.9674521691569,12.2345503236178,14.3682147564406,19.1634490931131
4,8.62162611441063,9.26226382004753,10.0174437858647,10.9574029647435,12.2550938661559,14.4562856127941,19.4629206304488
5,8.63121499712737,9.28364858163266,10.0614539369944,11.038966865044,12.3740934024526,14.660516575952,19.8769372290813
6,8.72084461843237,9.40562335089314,10.2151596001553,11.2394259256352,12.6501814754246,15.0313315016645,20.3772934047349
7,8.94741358444412,9.66823875516806,10.5318477411146,11.6259558829816,13.1306602653379,15.6999744584864,21.2873916452658
8,9.35861514930669,10.1373393299733,11.0631692508777,12.2397142322275,13.8777215689233,16.6148687597103,22.3976989298132
9,9.95943287028252,10.81929818828,11.8495221066539,13.1523686621943,14.9178671194277,17.7745648393464,23.6583902289937
10,10.7773885360506,11.7407634218021,12.8971943952926,14.340610448897,16.2414737015358,19.1589817063901,25.1499074618358
11,11.8548095504975,12.9370104342765,14.207749517032,15.7517399462136,17.7367718500201,20.7305342362831,26.8755125003464
12,13.1924826256408,14.3799219805575,15.7219716648864,17.3397298512453,19.4225112331812,22.4953383228885,28.695251841717
13,14.7399337846202,15.9928191643087,17.4114684913552,19.090209348106,21.2280118052396,24.4337103085257,30.5644743454345
14,16.4380887077832,17.7652125873259,19.2448754914329,21.0010454736593,23.2109336805086,26.5123596865126,32.6391701999463
15,18.2698631399011,19.6823731703571,21.2373394512089,23.0367270005992,25.3169544628151,28.7507039564373,34.9208059173185
16,20.2077182900692,21.680522901546,23.3132834789703,25.2219442455183,27.5817300881796,31.0977298777108,37.3807446550525
17,22.1622826313525,23.7454455714843,25.479838382943,27.4703820775453,29.9639254758892,33.5223094928484,40.0855384032129
18,24.1113095637568,25.7777722825695,27.6338965720843,29.7359376483061,32.3576656739997,36.0989235066087,42.9313814980173
19,26.0348988855332,27.7851491013762,29.7052391798015,31.9501957207558,34.7241862066983,38.7400981907558,45.7517063454556
20,27.8790273776301,29.7204742857198,31.7660954601498,34.1035742745955,37.0268699072587,41.2121852654765,48.5414274892816
21,29.5838981600398,31.5158253679502,33.6499263873537,36.1664904529832,39.22632992577,43.5565791575751,51.2680690862343
22,31.1136653240901,33.1245147892053,35.3795063327022,37.9852643813266,41.2347491474519,45.6880651254902,53.7941694683926
23,32.4635354526921,34.5435658284911,36.8439007603253,39.5550054844899,42.8867949065266,47.6830241471059,56.098576492712
24,33.5958281307937,35.7440391998277,38.1376953061639,40.9155633841849,44.2980768151105,49.323218064394,58.2255191970742
25,34.4612885406924,36.7004933470165,39.163345403445,42.0161032532903,45.5364780891552,50.6549642942368,60.2173964330533
26,35.0909240112828,37.3974582581834,39.9095774697356,42.8031536269357,46.5298531007778,51.8838899872767,61.8971524073424
27,35.4372858945413,37.8101795437292,40.4288555286042,43.4015196511589,47.2351062622575,52.9404409075022,63.162057419574
28,35.4711638388198,37.9656563824378,40.7334884244214,43.8964169562255,47.8619548428121,53.5930279349647,64.0369057078757
29,35.3233839129731,37.9036994921523,40.8066087305512,44.1642546415272,48.23025659692,54.0953083569677,64.7028041316448
30,35.1453866671635,37.6911496257959,40.6044302362085,44.0949829785597,48.3670539410987,54.4905453676906,65.4212905849464
31,34.9702279611246,37.4983542576282,40.4003786202968,43.9029019320734,48.3951711582216,54.94726944176,66.4113093953089
32,34.7768092688867,37.3726675932925,40.3244535968174,43.9311222420774,48.5288953017434,55.1635700208463,67.2226310821551
33,34.7524707662017,37.3689964578579,40.3843255174657,43.9718373491302,48.5423144230926,55.2666464688237,67.802380384328
34,34.8237128055493,37.4352281099366,40.4370119546175,44.0102199644157,48.5561501638691,55.5324185238907,68.1048546379657
35,34.9437682140007,37.5641298756767,40.5366913454156,44.0609774851577,48.6546762516609,55.7720532866467,68.7321317332554
36,35.1134459421106,37.7550478395319,40.7268791186351,44.2520074136148,48.9271766831189,56.0736009344876,69.5604617422454
37,35.3647204892015,38.030001454455,41.0905454635399,44.6405054113984,49.316000656415,56.5406775034299,70.1397747860956
38,35.8385982825332,38.5131303755576,41.5861563970117,45.1954072399029,49.7793249917121,56.965366912061,70.6526456285873
39,36.3910567198775,39.0689040095623,42.1421959713221,45.7331737335794,50.344297210919,57.4382673185747,71.2264682139219
40,36.982780960677,39.6584224573409,42.7088231317494,46.3305409911509,50.9766352820328,58.1043990563504,71.6734044602737
41,37.6089003835823,40.2813135193982,43.3106872102334,46.9512805462904,51.5761990166454,58.7288930531868,72.1657699812551
42,38.2167039404407,40.9207071800966,43.9895998954289,47.6163399996161,52.2234001715199,59.3152852121955,72.5616953869208
43,38.7925086347288,41.5296643583582,44.669662425935,48.332138234034,52.9462468252233,59.8244585649625,72.7650373262351
44,39.3267374833918,42.0800251629442,45.2113962853832,48.8741378002699,53.5093387004452,60.3436658132091,72.8997222738172
45,39.7020992198598,42.4836249067445,45.6226710686865,49.2683774856157,53.9148127310017,60.7686793130345,73.0129902745234
46,39.8953985600382,42.7123136161932,45.8770684332787,49.5940684093617,54.2942697765136,61.0952865977788,73.2464883155632
47,40.0439515934994,42.8660048802144,46.0712579184138,49.8174018744333,54.6216458454212,61.4356445388229,73.3402817208168
48,40.1161406265267,42.9718794291809,46.194797384215,49.9780233836246,54.714651589833,61.5738776191892,73.4830905676577
49,40.0918169215332,42.9584810642724,46.2016669488004,49.9760599261311,54.7117955703001,61.6838579629692,73.6541466244176
50,39.9770879403408,42.8790679919066,46.0841555467538,49.8747119956592,54.6249040256234,61.6165941974342,73.8229290780786
