,ftype,K,d,c1,e11,a1,lb1,ub1,rms_err,max_err,latitude
0,MA,1,1,15.3278198784,0.918628802645,1,69.249736706,573.371086926,0.0181039946059,0.0285735439401,20
0,MA,1,1,15.2150696157,0.918627664894,1,68.2608343804,564.392670337,0.0180955340679,0.0285591334738,21
0,MA,1,1,15.1004236078,0.918626565448,1,67.2467220047,555.226378562,0.0180870183435,0.0285446250045,22
0,MA,1,1,14.9837792477,0.918625504266,1,66.2076593926,545.874846774,0.0180784414366,0.0285300082365,23
0,MA,1,1,14.8650281976,0.918624481413,1,65.1439088708,536.340748867,0.0180697971829,0.0285152725767,24
0,MA,1,1,14.7440558569,0.91862349707,1,64.0557349872,526.626795974,0.018061079232,0.0285004071014,25
0,MA,1,1,14.6207407754,0.918622551532,1,62.9434041951,516.735734892,0.0180522810264,0.0284854005213,26
0,MA,1,1,14.494954003,0.918621645214,1,61.8071845092,506.670346406,0.0180433957803,0.0284702411439,27
0,MA,1,1,14.3665583687,0.918620778662,1,60.6473451342,496.433443515,0.0180344164568,0.0284549168338,28
0,MA,1,1,14.2354076782,0.91861995255,1,59.4641560609,486.027869543,0.0180253357429,0.0284394149692,29
0,MA,1,1,14.1013458186,0.918619167697,1,58.2578876289,475.45649613,0.0180161460235,0.0284237223968,30
0,MA,1,1,13.964205756,0.918618425071,1,57.0288100519,464.722221097,0.0180068393526,0.0284078253808,31
0,MA,1,1,13.8238084102,0.918617725798,1,55.7771929028,453.827966168,0.0179974074229,0.02839170955,32
0,MA,1,1,13.6799613879,0.918617071177,1,54.5033045536,442.776674546,0.0179878415322,0.0283753598391,33
0,MA,1,1,13.5324575509,0.91861646269,1,53.2074115671,431.571308315,0.0179781325471,0.028358760425,34
0,MA,1,1,13.3810733928,0.918615902017,1,51.8897780339,420.214845672,0.0179682708641,0.0283418946581,35
0,MA,1,1,13.2255671918,0.918615391054,1,50.5506648495,408.710277949,0.0179582463661,0.0283247449863,36
0,MA,1,1,13.065676901,0.918614931931,1,49.1903289251,397.060606423,0.0179480483752,0.0283072928728,37
0,MA,1,1,12.9011177286,0.918614527029,1,47.8090223242,385.268838883,0.0179376656018,0.0282895187046,38
0,MA,1,1,12.7315793507,0.918614179012,1,46.4069913164,373.337985928,0.0179270860872,0.0282714016933,39
0,MA,1,1,12.5567226867,0.918613890845,1,44.9844753384,361.271056962,0.0179162971411,0.0282529197648,40
0,MA,1,1,12.3761761492,0.91861366583,1,43.541705851,349.071055866,0.017905285273,0.0282340494373,41
0,MA,1,1,12.1895312613,0.91861350764,1,42.0789050792,336.740976282,0.0178940361155,0.028214765687,42
0,MA,1,1,11.9963375042,0.918613420355,1,40.5962846195,324.283796493,0.0178825343396,0.0281950417984,43
0,MA,1,1,11.7960962244,0.91861340851,1,39.0940438983,311.70247382,0.0178707635601,0.0281748491978,44
0,MA,1,1,11.5882533788,0.918613477143,1,37.5723684588,298.999938494,0.0178587062314,0.0281541572677,45
0,MA,1,1,11.3721908364,0.918613631852,1,36.0314280561,286.179086915,0.0178463435293,0.0281329331393,46
0,MA,1,1,11.1472158644,0.918613878865,1,34.4713745291,273.242774234,0.0178336552199,0.0281111414598,47
0,MA,1,1,10.9125483102,0.918614225111,1,32.8923394209,260.193806144,0.0178206195118,0.0280887441312,48
0,MA,1,1,10.6673048255,0.918614678307,1,31.2944313065,247.034929785,0.0178072128899,0.0280657000153,49
0,MA,1,1,10.4104792406,0.918615247062,1,29.6777327853,233.768823609,0.0177934099279,0.0280419646015,50
0,MA,1,1,10.1409178617,0.918615940983,1,28.0422970851,220.398086073,0.0177791830752,0.0280174896289,51
0,MA,1,1,9.85728796003,0.918616770818,1,26.3881442145,206.92522296,0.017764502416,0.0279922226582,52
0,MA,1,1,9.55803697243,0.918617748602,1,24.7152565907,193.352633112,0.0177493353939,0.027966106583,53
0,MA,1,1,9.24133876223,0.918618887842,1,23.0235740511,179.68259232,0.0177336464976,0.0279390790705,54
0,MA,1,1,8.90502143955,0.91862020372,1,21.3129881433,165.917235059,0.0177173969004,0.02791107192,55
0,MA,1,1,8.54646818465,0.918621713346,1,19.5833355639,152.058533683,0.0177005440452,0.0278820103245,56
0,MA,1,1,8.16247730259,0.918623436042,1,17.8343905879,138.108274649,0.0176830411654,0.0278518120154,57
0,MA,1,1,7.74905841331,0.918625393683,1,16.0658562973,124.068031198,0.0176648367282,0.0278203862719,58
0,MA,1,1,7.30112411119,0.918627611104,1,14.277354374,109.939131845,0.0176458737877,0.0277876327639,59
0,MA,1,1,6.81200113854,0.91863011658,1,12.4684131669,95.7226238482,0.017626089227,0.0277534401993,60
