,ftype,K,d,c1,c2,c3,c4,e11,e12,e21,e22,e31,e32,e41,e42,a1,lb1,ub1,lb2,ub2,rms_err,max_err,latitude
0,SMA,4,2,1972.76070457,9.76803831742e-15,3.89548847625e-14,52592.6908425,7.65934351447,39.2523750673,-8.44678754051,53.0604464666,-7.26313077316,10.6447914866,9.97694809154,6.26458775115,5.52656349009,0.0440961654561,0.210293755105,0.75,0.99,0.0495506997735,0.143081120335,20
0,SMA,4,2,80902.2402438,1.00875791299e-13,6.65554558466e-13,1364.46655359,9.61437834027,5.47685532916,-7.87805801011,47.8972785595,-6.62457549259,9.18455714792,7.04000152759,35.8431986314,5.02894454539,0.0440961654561,0.195665576827,0.75,0.99,0.0461945062722,0.141061858465,21
0,SMA,4,2,111738.591996,1.52662577539e-13,7.57507998884e-13,2032.71004009,9.64592650924,5.29384264547,-7.75212760533,47.610014284,-6.63920331482,8.90160677308,7.11310128159,35.0036625134,5.06352574979,0.0440961654561,0.195665576827,0.75,0.99,0.0466598128739,0.142987348923,22
0,SMA,4,2,134545.924727,4.20432630069e-13,1.07394836327e-12,2683.01109307,9.59592789034,5.08607143024,-7.45671626014,48.5833839756,-6.61199851355,8.67269718937,7.11375277421,34.0228744078,5.07697705708,0.0440961654561,0.195665576827,0.75,0.99,0.0462663560566,0.142633790557,23
0,SMA,4,2,194596.44797,6.80459769755e-13,4.84076893586e-13,4805.51121407,9.81266023807,5.08324941641,-7.25039682995,48.340006738,-6.86551959449,8.90509702704,7.40075049618,33.5838224209,5.31476127741,0.0440961654561,0.200424931444,0.75,0.99,0.0497720778597,0.166719480899,24
0,SMA,4,2,202305.795811,2.13548859607e-12,3.10379804308e-13,6282.860629,9.79657352185,5.11969049919,-6.8562862124,48.0418747687,-7.05814029157,9.16708250387,7.49817106461,33.3414491753,5.47666130269,0.0440961654561,0.20530005224,0.75,0.99,0.0497320681442,0.158601467686,25
0,SMA,4,2,294771.594965,7.02788746345e-12,3.13127244594e-13,7481.48420997,9.90359886469,5.26034779534,-6.51362700515,51.4011011348,-7.14005035876,9.51589596239,7.51336493163,34.6840898363,5.58638085148,0.0440961654561,0.20530005224,0.75,0.99,0.0487683413883,0.155101493267,26
0,SMA,4,2,362322.084701,7.08900773152e-12,1.29333879172e-13,8933.3905227,10.0341639891,5.43564378708,-6.54269949375,51.0695172838,-7.44239510604,9.71409974149,7.57165563166,36.2972260085,5.81829611972,0.0440961654561,0.210293755105,0.75,0.99,0.0485834353631,0.140697390435,27
0,SMA,4,2,327547.584963,6.85284364982e-12,7.90192671236e-14,8886.45653001,9.95475068547,5.58317751881,-6.63585349196,49.305428963,-7.64848741797,9.68236891499,7.50422555944,36.9238169223,5.95864933791,0.0440961654561,0.215408924417,0.75,0.99,0.0483815454824,0.12519803815,28
0,SMA,4,2,230293.524454,1.14744763257e-11,6.96664459389e-14,7673.16557671,9.71011000284,5.71947229987,-6.58409022639,50.3223739353,-7.78704595159,9.85121944206,7.3436507525,36.3618434599,6.02017080292,0.0440961654561,0.22064851472,0.75,0.99,0.0479265825039,0.112287708882,29
0,SMA,4,2,128967.32045,1.43566854795e-11,4.20386417169e-14,5799.09101082,9.38455177988,5.99695041258,-6.62322773628,52.2453200021,-8.04629657229,10.2154371016,7.14560683563,36.4174492309,6.12090396591,0.0440961654561,0.231513137534,0.75,0.99,0.0490815944353,0.142670958908,30
0,SMA,4,2,125535.382943,2.17101259873e-12,1.22062741772e-15,9096.97890552,9.68217374985,7.21369670723,-7.20279657972,57.5914462312,-9.09369126666,11.763014317,7.56276908746,40.5475240457,6.89403818429,0.0440961654561,0.254873630576,0.75,0.99,0.0492331541096,0.132987522739,31
0,SMA,4,2,62127.1587185,3.54248009611e-12,5.23490186859e-16,5996.5877816,9.30209405922,7.89558106167,-7.11582709912,58.0630981767,-9.45338027443,12.2354430544,7.32344030993,42.4715004534,7.0681263228,0.0440961654561,0.267423481025,0.75,0.99,0.0482300474966,0.116110258055,32
0,SMA,4,2,28076.5553314,8.00567948296e-12,1.85675522228e-16,3979.25354629,8.90515579247,8.67682940351,-6.89129119995,58.6547333022,-9.86433300031,12.772235967,7.12569188839,44.5267187433,7.28002121612,0.0440961654561,0.280591279851,0.75,0.99,0.0482693077632,0.126927809884,33
0,SMA,4,2,9953.64874625,1.18619733646e-11,4.69992797391e-17,2663.28164209,8.42785309973,9.53892597558,-6.79317422295,60.9723010652,-10.3778416332,13.5223340499,6.9656844971,46.6694584012,7.55121562223,0.0440961654561,0.301568599067,0.75,0.99,0.049863737573,0.130887115977,34
0,SMA,4,2,2918.05374352,1.58054955356e-10,4.04765801286e-16,1048.39104206,7.58682105731,9.36994263307,-6.07432858217,60.4210129437,-9.87933249729,13.204357216,6.32969557196,46.2312921905,7.21337278862,0.0440961654561,0.301568599067,0.75,0.99,0.0434059437673,0.114844485514,35
